fid,NOM_MUN,COD,COD_MUN4,POB_TOTAL,urbano_na,urbano_nr,urbano_si,urbano_no,rural_na,rura_nr,rural_si,rural_no,urbano_na,urbano_nr,rural_na,rural_nr,total_urbano,total_rural,total,porcentaje_SI,porcentaje_NO,SI_Urbano,SI_Rural
237,AHUACHAPAN,101,0101,110511,232,1222,1136,61391,NA,427,53,46050,232,1222,0,427,63981,46530,110511,1.09,98.91,1.82,0.11
230,APANECA,102,0102,8383,NA,27,62,2854,NA,58,5,5377,0,27,0,58,2943,5440,8383,0.81,99.19,2.13,0.09
236,ATIQUIZAYA,103,0103,33587,51,187,456,20170,NA,60,19,12644,51,187,0,60,20864,12723,33587,1.43,98.57,2.21,0.15
231,CONCEPCION DE ATACO,104,0104,12786,5,83,65,5749,6,303,5,6570,5,83,6,303,5902,6884,12786,0.57,99.43,1.12,0.08
235,EL REFUGIO,105,0105,8171,11,118,80,6106,NA,11,4,1841,11,118,0,11,6315,1856,8171,1.05,98.95,1.29,0.22
270,GUAYMANGO,106,0106,19037,NA,41,31,1237,NA,200,0,17528,0,41,0,200,1309,17728,19037,0.16,99.84,2.44,0
229,JUJUTLA,107,0107,28599,NA,33,9,6867,NA,251,8,21431,0,33,0,251,6909,21690,28599,0.06,99.94,0.13,0.04
232,SAN FRANCISCO MENENDEZ,108,0108,42607,NA,218,144,12034,NA,239,40,29932,0,218,0,239,12396,30211,42607,0.44,99.56,1.18,0.13
238,SAN LORENZO,109,0109,9194,NA,6,3,1118,NA,41,19,8007,0,6,0,41,1127,8067,9194,0.24,99.76,0.27,0.24
228,SAN PEDRO PUXTLA,110,0110,7773,NA,14,23,1850,NA,38,9,5839,0,14,0,38,1887,5886,7773,0.41,99.59,1.23,0.15
233,TACUBA,111,0111,29858,NA,58,53,4778,NA,460,5,24504,0,58,0,460,4889,24969,29858,0.2,99.8,1.1,0.02
234,TURIN,112,0112,8997,NA,32,73,6298,NA,3,0,2591,0,32,0,3,6403,2594,8997,0.81,99.19,1.15,0
