fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
237,AHUACHAPAN,0101,110511,1136,61391,53,46050,1189,107441,108630
230,APANECA,0102,8383,62,2854,5,5377,67,8231,8298
236,ATIQUIZAYA,0103,33587,456,20170,19,12644,475,32814,33289
231,CONCEPCION DE ATACO,0104,12786,65,5749,5,6570,70,12319,12389
235,EL REFUGIO,0105,8171,80,6106,4,1841,84,7947,8031
270,GUAYMANGO,0106,19037,31,1237,0,17528,31,18765,18796
229,JUJUTLA,0107,28599,9,6867,8,21431,17,28298,28315
232,SAN FRANCISCO MENENDEZ,0108,42607,144,12034,40,29932,184,41966,42150
238,SAN LORENZO,0109,9194,3,1118,19,8007,22,9125,9147
228,SAN PEDRO PUXTLA,0110,7773,23,1850,9,5839,32,7689,7721
233,TACUBA,0111,29858,53,4778,5,24504,58,29282,29340
234,TURIN,0112,8997,73,6298,0,2591,73,8889,8962
32,CANDELARIA DE LA FRONTERA,0201,22686,72,7976,64,14112,136,22088,22224
34,COATEPEQUE,0202,36768,81,12808,40,22735,121,35543,35664
37,CHALCHUAPA,0203,74038,1031,45488,16,25852,1047,71340,72387
38,EL CONGO,0204,24219,216,14213,20,9511,236,23724,23960
35,EL PORVENIR,0205,8232,3,906,3,7172,6,8078,8084
30,MASAHUAT,0206,3393,14,484,9,2855,23,3339,3362
26,METAPAN,0207,59004,685,18061,69,38964,754,57025,57779
27,SAN ANTONIO PAJONAL,0208,3279,42,1231,0,1968,42,3199,3241
36,SAN SEBASTIAN SALITRILLO,0209,18566,237,16822,10,1050,247,17872,18119
33,SANTA ANA,0210,245421,9566,184808,159,39767,9725,224575,234300
29,SANTA ROSA GUACHIPILIN,0211,4930,3,427,11,4464,14,4891,4905
28,SANTIAGO DE LA FRONTERA,0212,5196,0,1398,0,3730,0,5128,5128
31,TEXISTEPEQUE,0213,17923,76,2952,29,14126,105,17078,17183
196,ACAJUTLA,0301,52359,372,24097,40,26558,412,50655,51067
202,ARMENIA,0302,34912,256,22719,9,10666,265,33385,33650
198,CALUCO,0303,9139,2,1597,0,7488,2,9085,9087
195,CUISNAHUAT,0304,12676,4,2991,0,9643,4,12634,12638
194,SANTA ISABEL ISHUATAN,0305,10241,0,804,14,9335,14,10139,10153
203,IZALCO,0306,70959,517,38394,57,30491,574,68885,69459
207,JUAYUA,0307,24465,361,13137,21,10394,382,23531,23913
206,NAHUIZALCO,0308,49081,168,32595,24,15103,192,47698,47890
197,NAHULINGO,0309,10417,73,7135,0,3028,73,10163,10236
205,SALCOATITAN,0310,5484,43,1965,0,3436,43,5401,5444
199,SAN ANTONIO DEL MONTE,0311,26902,272,19101,0,6805,272,25906,26178
201,SAN JULIAN,0312,18648,116,9218,4,9087,120,18305,18425
204,SANTA CATARINA MASAHUAT,0313,10076,3,4210,0,5646,3,9856,9859
271,SANTO DOMINGO DE GUZMAN,0314,7055,5,2229,0,4748,5,6977,6982
200,SONSONATE,0315,71541,1922,45512,14,22103,1936,67615,69551
208,SONZACATE,0316,25005,808,23798,0,0,808,23798,24606
2,AGUA CALIENTE,0401,8261,44,1897,8,6178,52,8075,8127
62,ARCATAO,0402,2946,8,903,7,1951,15,2854,2869
24,AZACUALPA,0403,1136,8,518,0,609,8,1127,1135
5,CITALA,0404,4164,36,1327,4,2694,40,4021,4061
63,COMALAPA,0405,2996,0,778,5,2190,5,2968,2973
14,CONCEPCION QUEZALTEPEQUE,0406,6457,51,2824,6,3359,57,6183,6240
15,CHALATENANGO,0407,29271,471,15545,91,12066,562,27611,28173
10,DULCE NOMBRE DE MARIA,0408,5051,42,1980,9,2912,51,4892,4943
65,EL CARRIZAL,0409,2464,0,366,0,2073,0,2439,2439
11,EL PARAISO,0410,10483,34,2793,5,7548,39,10341,10380
64,LA LAGUNA,0411,3923,12,421,0,3455,12,3876,3888
3,LA PALMA,0412,12235,104,2776,8,9173,112,11949,12061
7,LA REINA,0413,9525,38,1944,11,7309,49,9253,9302
17,LAS VUELTAS,0414,940,0,301,3,635,3,936,939
60,NOMBRE DE JESUS,0415,4484,9,803,0,3602,9,4405,4414
1,NUEVA CONCEPCION,0416,28625,195,9543,22,18402,217,27945,28162
16,NUEVA TRINIDAD,0417,1673,0,214,0,1452,0,1666,1666
18,OJOS DE AGUA,0418,3667,0,795,1,2837,1,3632,3633
21,POTONICO,0419,1586,7,728,0,815,7,1543,1550
59,SAN ANTONIO DE LA CRUZ,0420,1854,0,123,0,1695,0,1818,1818
23,SAN ANTONIO LOS RANCHOS,0421,1619,5,604,0,995,5,1599,1604
6,SAN FERNANDO,0422,2593,0,627,0,1953,0,2580,2580
58,SAN FRANCISCO LEMPA,0423,862,10,582,0,264,10,846,856
8,SAN FRANCISCO MORAZAN,0424,3919,0,700,0,3166,0,3866,3866
4,SAN IGNACIO,0425,8611,39,1187,21,7220,60,8407,8467
19,SAN ISIDRO LABRADOR,0426,2592,4,1110,6,1432,10,2542,2552
20,CANCASQUE,0427,1751,0,668,0,1063,0,1731,1731
61,LAS FLORES,0428,1583,0,577,0,986,0,1563,1563
25,SAN LUIS DEL CARMEN,0429,1173,0,274,2,893,2,1167,1169
22,SAN MIGUEL DE MERCEDES,0430,2487,10,993,6,1441,16,2434,2450
12,SAN RAFAEL,0431,4264,16,1641,3,2591,19,4232,4251
13,SANTA RITA,0432,5985,0,383,19,5535,19,5918,5937
9,TEJUTLA,0433,13608,29,5230,38,7908,67,13138,13205
251,ANTIGUO CUSCATLAN,0501,33698,15385,17410,0,0,15385,17410,32795
258,CIUDAD ARCE,0502,60314,392,39726,57,17798,449,57524,57973
256,COLON,0503,96989,1659,86657,44,5630,1703,92287,93990
250,COMASAGUA,0504,11870,14,2759,0,8878,14,11637,11651
247,CHILTIUPAN,0505,10897,2,770,31,9999,33,10769,10802
245,HUIZUCAR,0506,14465,49,4055,10,9286,59,13341,13400
253,JAYAQUE,0507,11058,56,6439,10,3856,66,10295,10361
242,JICALAPA,0508,5116,0,420,6,4666,6,5086,5092
241,LA LIBERTAD,0509,35997,210,22393,64,12658,274,35051,35325
248,NUEVO CUSCATLAN,0510,6897,77,3967,345,2448,422,6415,6837
255,SANTA TECLA,0511,121908,29512,73767,984,11049,30496,84816,115312
259,QUEZALTEPEQUE,0512,52643,964,33716,24,15871,988,49587,50575
257,SACACOYO,0513,12299,61,9544,1,2401,62,11945,12007
244,SAN JOSE VILLANUEVA,0514,13576,253,10275,162,2608,415,12883,13298
