fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
39,APASTEPEQUE,1001,18342,583,4200,201,13205,1517,26695,28212
46,GUADALUPE,1002,5486,105,3552,56,1688,430,7703,8133
45,SAN CAYETANO ISTEPEQUE,1003,5103,169,1426,109,3347,597,11459,12056
112,SANTA CLARA,1004,5349,48,859,62,4322,472,8048,8520
42,SANTO DOMINGO,1005,6445,221,1836,118,4080,183,3907,4090
113,SAN ESTEBAN CATARINA,1006,5661,226,2288,16,3105,29,2558,2587
48,SAN ILDEFONSO,1007,7799,82,2058,59,5505,256,9078,9334
43,SAN LORENZO,1008,6055,88,1917,81,3868,72,3780,3852
40,SAN SEBASTIAN,1009,14411,780,5687,124,7688,524,12687,13211
114,SAN VICENTE,1010,53213,4483,29699,298,15833,302,4643,4945
47,TECOLUCA,1011,23893,269,10094,148,13071,533,9847,10380
44,TEPETITAN,1012,3631,144,1691,58,1707,289,3958,4247
41,VERAPAZ,1013,6257,182,2262,78,3693,255,5688,5943
57,ALEGRIA,1101,11712,163,1381,137,9882,362,5896,6258
51,BERLIN,1102,17787,722,8880,0,7935,3328,24878,28206
147,CALIFORNIA,1103,2628,40,1604,12,944,40,1626,1666
152,CONCEPCION BATRES,1104,12197,352,2825,188,8698,35,904,939
53,EL TRIUNFO,1105,6924,365,2698,101,3723,70,3570,3640
150,EREGUAYQUIN,1106,6119,159,1758,164,3980,99,2465,2564
49,ESTANZUELAS,1107,9015,197,3610,52,5005,5,1726,1731
143,JIQUILISCO,1108,47784,1320,18709,374,26901,86,1464,1550
56,JUCUAPA,1109,18442,1194,8853,82,7833,135,2315,2450
155,JUCUARAN,1110,13424,130,1010,143,12112,42,1563,1605
192,MERCEDES UMANA,1111,13092,318,2762,129,9775,155,974,1129
52,NUEVA GRANADA,1112,7451,48,1262,62,6044,31,1135,1166
148,OZATLAN,1113,12443,225,4850,79,7251,3591,54425,58016
154,PUERTO EL TRIUNFO,1114,16584,516,9052,81,6882,114,3134,3248
50,SAN AGUSTIN,1115,6518,68,3019,23,3352,110,5011,5121
54,SAN BUENA VENTURA,1116,4726,140,783,99,3639,120,4783,4903
153,SAN DIONISIO,1117,4945,33,1242,38,3615,63,3302,3365
144,SANTA ELENA,1118,17342,925,4234,183,11925,696,16542,17238
145,SAN FRANCISCO JAVIER,1119,5409,60,940,35,4333,987,21302,22289
149,SANTA MARIA,1120,10731,540,7573,123,2333,33351,201703,235054
55,SANTIAGO DE MARIA,1121,18201,1517,12496,87,3740,1074,34707,35781
146,TECAPAN,1122,7697,121,3401,94,4049,177,7946,8123
151,USULUTAN,1123,73064,5875,43989,460,20823,1472,16712,18184
161,CAROLINA,1201,8240,52,1141,23,6849,5746,66804,72550
163,CIUDAD BARRIOS,1202,24817,735,6131,190,15610,1232,22717,23949
176,COMACARAN,1203,3199,22,414,55,2647,784,17405,18189
164,CHAPELTIQUE,1204,10728,350,1999,378,7763,904,13375,14279
168,CHINAMECA,1205,22311,946,5146,290,15563,260,5955,6215
174,CHIRILAGUA,1206,19984,249,2807,219,16375,339,5916,6255
173,EL TRANSITO,1207,18363,723,6819,189,10469,169,5785,5954
165,LOLOTIQUE,1208,14916,127,4236,362,9981,202,3398,3600
166,MONCAGUA,1209,22659,435,5990,441,15627,278,4773,5051
167,NUEVA GUADALUPE,1210,8905,801,4236,209,3615,161,5240,5401
157,NUEVO EDEN DE SAN JUAN,1211,4034,1,567,11,3419,417,23165,23582
170,QUELEPA,1212,4049,120,2226,92,1544,141,7563,7704
162,SAN ANTONIO,1213,5304,28,391,13,4817,249,8615,8864
159,SAN GERARDO,1214,5986,101,862,17,4960,91,6371,6462
169,SAN JORGE,1215,9115,220,2320,119,6320,722,16815,17537
160,SAN LUIS DE LA REINA,1216,5637,91,988,32,4475,110,7306,7416
171,SAN MIGUEL,1217,218410,27593,125662,1170,57416,466,6421,6887
172,SAN RAFAEL ORIENTE,1218,13290,565,4946,153,7369,239,4422,4661
156,SESORI,1219,10705,77,930,63,9265,1604,16236,17840
175,ULUAZAPA,1220,3351,73,1188,65,1955,1276,16686,17962
180,ARAMBALA,1301,1821,27,231,23,1540,300,11263,11563
178,CACAOPERA,1302,10943,88,972,0,9061,79,777,856
124,CORINTO,1303,15410,240,3069,39,11824,52,1766,1818
116,CHILANGA,1304,9700,74,1141,128,8145,165,4267,4432
190,DELICIAS DE CONCEPCION,1305,5076,170,1869,66,2926,73,1490,1563
122,EL DIVISADERO,1306,7617,72,727,340,6357,55,2818,2873
185,EL ROSARIO,1307,1339,24,449,20,841,156,2826,2982
189,GUALOCOCTI,1308,3650,35,857,6,2516,114,3786,3900
117,GUATAJIAGUA,1309,11721,106,3559,62,7638,31,2405,2436
187,JOATECA,1310,4210,90,719,10,3345,642,24066,24708
182,JOCOAITIQUE,1311,2877,22,785,58,1968,160,6533,6693
123,JOCORO,1312,10060,542,2445,264,6516,318,8940,9258
115,LOLOTIQUILLO,1313,4915,74,931,51,3751,61,3507,3568
186,MEANGUERA,1314,7818,42,1419,92,6020,550,7328,7878
193,OSICALA,1315,8909,348,1639,95,6676,999,42257,43256
181,PERQUIN,1316,3158,78,99,81,2805,390,11306,11696
121,SAN CARLOS,1317,4172,131,842,51,3086,172,9974,10146
179,SAN FERNANDO,1318,1708,39,171,7,1441,28,4167,4195
118,SAN FRANCISCO GOTERA,1319,21049,1717,13211,163,4881,911,15746,16657
184,SAN ISIDRO,1320,2804,23,722,11,2038,5106,43401,48507
188,SAN SIMON,1321,10102,92,1410,64,8142,161,13076,13237
119,SENSEMBRA,1322,2940,33,743,0,2106,83,8124,8207
177,SOCIEDAD,1323,11406,69,911,168,9527,165,9850,10015
183,TOROLA,1324,3042,4,207,4,2726,112,6140,6252
120,YAMABAL,1325,4346,55,463,72,3622,56,2525,2581
191,YOLOAIQUIN,1326,3613,56,559,45,2887,568,20739,21307
129,ANAMOROS,1401,14551,169,1507,137,11995,1845,26761,28606
137,BOLIVAR,1402,4215,53,455,106,3499,289,7353,7642
135,CONCEPCION DE ORIENTE,1403,8179,88,890,49,6907,572,15860,16432
130,CONCHAGUA,1404,37362,1327,15264,364,19745,106,4123,4229
140,EL CARMEN,1405,12324,90,1671,347,9968,123,3671,3794
128,EL SAUCE,1406,6546,70,809,89,5261,414,5129,5543
131,INTIPUCA,1407,7567,134,2670,78,4523,159,7116,7275
141,LA UNION,1408,34045,2260,15297,451,15312,64,3535,3599
133,LISLIQUE,1409,13385,46,570,110,12189,1305,38129,39434
142,MEANGUERA DEL GOLFO,1410,2398,37,407,38,1851,631,24225,24856
