,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
1,AHUACHAPAN,101,0101,URBANO,232,1184,40330,22235
2,AHUACHAPAN,101,0101,RURAL,NA,611,23328,22591
3,APANECA,102,0102,URBANO,NA,1,2132,810
4,APANECA,102,0102,RURAL,NA,78,3027,2335
5,ATIQUIZAYA,103,0103,URBANO,51,159,13633,7021
6,ATIQUIZAYA,103,0103,RURAL,NA,55,7622,5046
7,CONCEPCION DE ATACO,104,0104,URBANO,5,86,3522,2289
8,CONCEPCION DE ATACO,104,0104,RURAL,6,280,2656,3942
9,EL REFUGIO,105,0105,URBANO,11,106,4540,1658
10,EL REFUGIO,105,0105,RURAL,NA,3,1222,631
11,GUAYMANGO,106,0106,URBANO,NA,45,648,616
12,GUAYMANGO,106,0106,RURAL,NA,195,5595,11938
13,JUJUTLA,107,0107,URBANO,NA,63,4427,2419
14,JUJUTLA,107,0107,RURAL,NA,336,10913,10441
15,SAN LORENZO,109,0109,URBANO,NA,6,729,392
16,SAN LORENZO,109,0109,RURAL,NA,66,4982,3019
17,SAN FRANCISCO MENENDEZ,108,0108,URBANO,NA,144,7845,4407
18,SAN FRANCISCO MENENDEZ,108,0108,RURAL,NA,348,19650,10213
19,SAN PEDRO PUXTLA,110,0110,URBANO,NA,28,977,882
20,SAN PEDRO PUXTLA,110,0110,RURAL,NA,50,1716,4120
21,TACUBA,111,0111,URBANO,NA,50,2301,2538
22,TACUBA,111,0111,RURAL,NA,432,7221,17316
23,TURIN,112,0112,URBANO,NA,37,4096,2270
24,TURIN,112,0112,RURAL,NA,NA,1410,1184
25,CANDELARIA DE LA FRONTERA,201,0201,URBANO,NA,91,5967,2090
26,CANDELARIA DE LA FRONTERA,201,0201,RURAL,NA,339,10554,3645
27,COATEPEQUE,202,0202,URBANO,2,462,9341,3535
28,COATEPEQUE,202,0202,RURAL,23,474,15101,7830
29,CHALCHUAPA,203,0203,URBANO,19,996,34789,11891
30,CHALCHUAPA,203,0203,RURAL,7,620,17908,7808
31,EL CONGO,204,0204,URBANO,NA,175,10692,3727
32,EL CONGO,204,0204,RURAL,NA,119,6424,3082
33,EL PORVENIR,205,0205,URBANO,NA,24,612,285
34,EL PORVENIR,205,0205,RURAL,NA,134,5050,2127
35,MASAHUAT,206,0206,URBANO,NA,NA,379,119
36,MASAHUAT,206,0206,RURAL,NA,24,1829,1042
37,METAPAN,207,0207,URBANO,208,263,15073,3812
38,METAPAN,207,0207,RURAL,NA,615,30210,8823
39,SAN ANTONIO PAJONAL,208,0208,URBANO,NA,9,877,412
40,SAN ANTONIO PAJONAL,208,0208,RURAL,1,23,1452,505
41,SAN SEBASTIAN SALITRILLO,209,0209,URBANO,NA,344,13767,3370
42,SAN SEBASTIAN SALITRILLO,209,0209,RURAL,NA,24,799,262
43,SANTA ANA,210,0210,URBANO,4540,4796,147055,47949
44,SANTA ANA,210,0210,RURAL,8,1321,25751,14001
45,SANTA ROSA GUACHIPILIN,211,0211,URBANO,NA,NA,313,118
46,SANTA ROSA GUACHIPILIN,211,0211,RURAL,NA,25,2910,1564
47,SANTIAGO DE LA FRONTERA,212,0212,URBANO,NA,28,968,440
48,SANTIAGO DE LA FRONTERA,212,0212,RURAL,NA,29,2773,958
49,TEXISTEPEQUE,213,0213,URBANO,NA,77,2419,616
50,TEXISTEPEQUE,213,0213,RURAL,415,234,9701,4461
51,ACAJUTLA,301,0301,URBANO,47,604,17510,7076
52,ACAJUTLA,301,0301,RURAL,NA,689,17348,9085
53,ARMENIA,302,0302,URBANO,7,847,15981,7159
54,ARMENIA,302,0302,RURAL,32,247,6652,3987
55,CALUCO,303,0303,URBANO,NA,9,940,660
56,CALUCO,303,0303,RURAL,NA,79,4421,3030
57,CUISNAHUAT,304,0304,URBANO,2,NA,958,2041
58,CUISNAHUAT,304,0304,RURAL,2,69,3612,5992
59,SANTA ISABEL ISHUATAN,305,0305,URBANO,NA,9,353,451
60,SANTA ISABEL ISHUATAN,305,0305,RURAL,NA,104,4591,4733
61,IZALCO,306,0306,URBANO,109,840,25232,13605
62,IZALCO,306,0306,RURAL,192,596,16938,13447
63,JUAYUA,307,0307,URBANO,23,249,9056,4470
64,JUAYUA,307,0307,RURAL,NA,167,5566,4934
65,NAHUIZALCO,308,0308,URBANO,3,735,14848,18003
66,NAHUIZALCO,308,0308,RURAL,NA,413,5798,9281
67,NAHULINGO,309,0309,URBANO,NA,133,5206,2023
68,NAHULINGO,309,0309,RURAL,NA,31,1732,1292
69,SALCOATITAN,310,0310,URBANO,NA,5,1427,588
70,SALCOATITAN,310,0310,RURAL,NA,34,2124,1306
71,SAN ANTONIO DEL MONTE,311,0311,URBANO,29,529,13458,5966
72,SAN ANTONIO DEL MONTE,311,0311,RURAL,NA,160,3541,3219
73,SAN JULIAN,312,0312,URBANO,NA,103,5896,3461
74,SAN JULIAN,312,0312,RURAL,1,225,4843,4119
75,SANTA CATARINA MASAHUAT,313,0313,URBANO,NA,96,1366,2824
76,SANTA CATARINA MASAHUAT,313,0313,RURAL,NA,188,2065,3537
77,SANTO DOMINGO DE GUZMAN,314,0314,URBANO,NA,46,774,1457
78,SANTO DOMINGO DE GUZMAN,314,0314,RURAL,NA,43,2156,2579
79,SONSONATE,315,0315,URBANO,536,1035,34956,12602
80,SONSONATE,315,0315,RURAL,NA,421,14005,7986
81,SONZACATE,316,0316,URBANO,115,220,18669,6001
82,AGUA CALIENTE,401,0401,URBANO,NA,32,1386,566
83,AGUA CALIENTE,401,0401,RURAL,NA,110,4413,1754
84,ARCATAO,402,0402,URBANO,NA,43,340,566
85,ARCATAO,402,0402,RURAL,2,39,833,1123
86,AZACUALPA,403,0403,URBANO,NA,9,225,293
87,AZACUALPA,403,0403,RURAL,NA,NA,304,305
88,CITALA,404,0404,URBANO,NA,5,1009,354
89,CITALA,404,0404,RURAL,NA,71,1514,1211
90,COMALAPA,405,0405,URBANO,NA,NA,291,495
91,COMALAPA,405,0405,RURAL,NA,28,1467,715
92,CONCEPCION QUEZALTEPEQUE,406,0406,URBANO,NA,121,1685,1192
93,CONCEPCION QUEZALTEPEQUE,406,0406,RURAL,NA,87,2037,1335
94,CHALATENANGO,407,0407,URBANO,690,285,9981,6020
95,CHALATENANGO,407,0407,RURAL,NA,172,6187,5936
96,DULCE NOMBRE DE MARIA,408,0408,URBANO,NA,81,1296,728
97,DULCE NOMBRE DE MARIA,408,0408,RURAL,NA,26,1724,1196
98,EL CARRIZAL,409,0409,URBANO,NA,11,72,286
99,EL CARRIZAL,409,0409,RURAL,NA,24,761,1310
100,EL PARAISO,410,0410,URBANO,NA,23,1738,1090
101,EL PARAISO,410,0410,RURAL,21,68,5101,2442
102,LA LAGUNA,411,0411,URBANO,NA,NA,195,238
103,LA LAGUNA,411,0411,RURAL,NA,40,1643,1807
104,LA PALMA,412,0412,URBANO,NA,48,2142,728
105,LA PALMA,412,0412,RURAL,NA,170,6523,2624
106,LA REINA,413,0413,URBANO,1,47,1142,846
107,LA REINA,413,0413,RURAL,32,141,4479,2837
108,LAS VUELTAS,414,0414,URBANO,NA,NA,71,230
109,LAS VUELTAS,414,0414,RURAL,NA,NA,301,338
110,NOMBRE DE JESUS,415,0415,URBANO,1,1,552,263
111,NOMBRE DE JESUS,415,0415,RURAL,1,44,2208,1414
112,NUEVA CONCEPCION,416,0416,URBANO,NA,89,6985,2771
113,NUEVA CONCEPCION,416,0416,RURAL,28,314,10880,7558
114,NUEVA TRINIDAD,417,0417,URBANO,NA,NA,118,103
115,NUEVA TRINIDAD,417,0417,RURAL,NA,6,735,711
116,OJOS DE AGUA,418,0418,URBANO,NA,5,263,532
117,OJOS DE AGUA,418,0418,RURAL,NA,31,1087,1749
118,SAN FERNANDO,422,0422,URBANO,NA,4,98,529
119,SAN FERNANDO,422,0422,RURAL,NA,11,793,1158
120,POTONICO,419,0419,URBANO,NA,35,272,460
121,POTONICO,419,0419,RURAL,NA,4,332,483
122,SAN ANTONIO DE LA CRUZ,420,0420,URBANO,NA,6,49,74
123,SAN ANTONIO DE LA CRUZ,420,0420,RURAL,NA,28,985,712
124,SAN ANTONIO LOS RANCHOS,421,0421,URBANO,NA,1,200,417
125,SAN ANTONIO LOS RANCHOS,421,0421,RURAL,NA,20,518,463
126,SAN FRANCISCO LEMPA,423,0423,URBANO,NA,17,365,216
127,SAN FRANCISCO LEMPA,423,0423,RURAL,NA,6,156,102
128,SAN FRANCISCO MORAZAN,424,0424,URBANO,1,3,440,260
129,SAN FRANCISCO MORAZAN,424,0424,RURAL,NA,66,1384,1765
130,SAN IGNACIO,425,0425,URBANO,NA,3,905,325
131,SAN IGNACIO,425,0425,RURAL,NA,166,5284,1928
132,SAN ISIDRO LABRADOR,426,0426,URBANO,NA,11,363,760
133,SAN ISIDRO LABRADOR,426,0426,RURAL,NA,23,487,948
134,CANCASQUE,427,0427,URBANO,NA,NA,122,546
135,CANCASQUE,427,0427,RURAL,NA,20,311,752
136,LAS FLORES,428,0428,URBANO,NA,8,275,302
137,LAS FLORES,428,0428,RURAL,NA,12,386,600
138,SAN LUIS DEL CARMEN,429,0429,URBANO,NA,NA,138,137
139,SAN LUIS DEL CARMEN,429,0429,RURAL,NA,3,456,439
140,SAN MIGUEL DE MERCEDES,430,0430,URBANO,NA,31,477,519
141,SAN MIGUEL DE MERCEDES,430,0430,RURAL,NA,10,633,817
142,SAN RAFAEL,431,0431,URBANO,NA,9,959,698
143,SAN RAFAEL,431,0431,RURAL,NA,30,1680,888
144,SANTA RITA,432,0432,URBANO,1,16,277,106
145,SANTA RITA,432,0432,RURAL,NA,18,3758,1809
146,TEJUTLA,433,0433,URBANO,NA,165,3356,1908
