,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
1,AHUACHAPAN,101,0101,URBANO,232,1080,5988,56681
2,AHUACHAPAN,101,0101,RURAL,NA,288,592,45650
3,APANECA,102,0102,URBANO,NA,24,342,2577
4,APANECA,102,0102,RURAL,NA,44,78,5318
5,ATIQUIZAYA,103,0103,URBANO,51,102,2099,18612
6,ATIQUIZAYA,103,0103,RURAL,NA,43,197,12483
7,CONCEPCION DE ATACO,104,0104,URBANO,5,79,404,5414
8,CONCEPCION DE ATACO,104,0104,RURAL,6,284,16,6578
9,EL REFUGIO,105,0105,URBANO,11,106,514,5684
10,EL REFUGIO,105,0105,RURAL,NA,9,40,1807
11,GUAYMANGO,106,0106,URBANO,NA,36,87,1186
12,GUAYMANGO,106,0106,RURAL,NA,142,29,17557
13,JUJUTLA,107,0107,URBANO,NA,32,172,6705
14,JUJUTLA,107,0107,RURAL,NA,234,137,21319
15,SAN LORENZO,109,0109,URBANO,NA,6,99,1022
16,SAN LORENZO,109,0109,RURAL,NA,36,158,7873
17,SAN FRANCISCO MENENDEZ,108,0108,URBANO,NA,95,574,11727
18,SAN FRANCISCO MENENDEZ,108,0108,RURAL,NA,160,263,29788
19,SAN PEDRO PUXTLA,110,0110,URBANO,NA,15,142,1730
20,SAN PEDRO PUXTLA,110,0110,RURAL,NA,19,35,5832
21,TACUBA,111,0111,URBANO,NA,54,245,4590
22,TACUBA,111,0111,RURAL,NA,380,85,24504
23,TURIN,112,0112,URBANO,NA,32,549,5822
24,TURIN,112,0112,RURAL,NA,NA,40,2554
25,CANDELARIA DE LA FRONTERA,201,0201,URBANO,NA,76,596,7476
26,CANDELARIA DE LA FRONTERA,201,0201,RURAL,NA,321,391,13826
27,COATEPEQUE,202,0202,URBANO,2,424,703,12211
28,COATEPEQUE,202,0202,RURAL,23,538,371,22496
29,CHALCHUAPA,203,0203,URBANO,19,1001,5342,41333
30,CHALCHUAPA,203,0203,RURAL,7,461,404,25471
31,EL CONGO,204,0204,URBANO,NA,168,1076,13350
32,EL CONGO,204,0204,RURAL,NA,102,156,9367
33,EL PORVENIR,205,0205,URBANO,NA,8,68,845
34,EL PORVENIR,205,0205,RURAL,NA,101,109,7101
35,MASAHUAT,206,0206,URBANO,NA,NA,35,463
36,MASAHUAT,206,0206,RURAL,NA,28,28,2839
37,METAPAN,207,0207,URBANO,208,257,2541,16350
38,METAPAN,207,0207,RURAL,NA,523,1050,38075
39,SAN ANTONIO PAJONAL,208,0208,URBANO,NA,15,85,1198
40,SAN ANTONIO PAJONAL,208,0208,RURAL,1,15,29,1936
41,SAN SEBASTIAN SALITRILLO,209,0209,URBANO,NA,365,1445,15671
42,SAN SEBASTIAN SALITRILLO,209,0209,RURAL,NA,17,27,1041
43,SANTA ANA,210,0210,URBANO,4540,4862,32689,162249
44,SANTA ANA,210,0210,RURAL,8,957,662,39454
45,SANTA ROSA GUACHIPILIN,211,0211,URBANO,NA,NA,33,398
46,SANTA ROSA GUACHIPILIN,211,0211,RURAL,NA,27,87,4385
47,SANTIAGO DE LA FRONTERA,212,0212,URBANO,NA,32,67,1337
48,SANTIAGO DE LA FRONTERA,212,0212,RURAL,NA,43,43,3674
49,TEXISTEPEQUE,213,0213,URBANO,NA,92,344,2676
50,TEXISTEPEQUE,213,0213,RURAL,415,178,352,13866
51,ACAJUTLA,301,0301,URBANO,47,646,1634,22910
52,ACAJUTLA,301,0301,RURAL,NA,449,330,26343
53,ARMENIA,302,0302,URBANO,7,956,1408,21623
54,ARMENIA,302,0302,RURAL,32,187,116,10583
55,CALUCO,303,0303,URBANO,NA,8,65,1536
56,CALUCO,303,0303,RURAL,NA,38,39,7453
57,CUISNAHUAT,304,0304,URBANO,2,11,67,2921
58,CUISNAHUAT,304,0304,RURAL,2,17,12,9644
59,SANTA ISABEL ISHUATAN,305,0305,URBANO,NA,9,19,785
60,SANTA ISABEL ISHUATAN,305,0305,RURAL,NA,14,63,9351
61,IZALCO,306,0306,URBANO,109,710,2565,36402
62,IZALCO,306,0306,RURAL,192,382,333,30266
63,JUAYUA,307,0307,URBANO,23,263,1415,12097
64,JUAYUA,307,0307,RURAL,NA,157,130,10380
65,NAHUIZALCO,308,0308,URBANO,3,721,841,32024
66,NAHUIZALCO,308,0308,RURAL,NA,315,103,15074
67,NAHULINGO,309,0309,URBANO,NA,140,462,6760
68,NAHULINGO,309,0309,RURAL,NA,27,8,3020
69,SALCOATITAN,310,0310,URBANO,NA,12,165,1843
70,SALCOATITAN,310,0310,RURAL,NA,41,39,3384
71,SAN ANTONIO DEL MONTE,311,0311,URBANO,29,481,1577,17895
72,SAN ANTONIO DEL MONTE,311,0311,RURAL,NA,114,33,6773
73,SAN JULIAN,312,0312,URBANO,NA,105,482,8873
74,SAN JULIAN,312,0312,RURAL,1,72,63,9052
75,SANTA CATARINA MASAHUAT,313,0313,URBANO,NA,65,87,4134
76,SANTA CATARINA MASAHUAT,313,0313,RURAL,NA,144,12,5634
77,SANTO DOMINGO DE GUZMAN,314,0314,URBANO,NA,34,92,2151
78,SANTO DOMINGO DE GUZMAN,314,0314,RURAL,NA,NA,11,4767
79,SONSONATE,315,0315,URBANO,536,991,7302,40300
80,SONSONATE,315,0315,RURAL,NA,234,184,21994
81,SONZACATE,316,0316,URBANO,115,193,3242,21455
82,AGUA CALIENTE,401,0401,URBANO,NA,42,252,1690
83,AGUA CALIENTE,401,0401,RURAL,NA,86,178,6013
84,ARCATAO,402,0402,URBANO,NA,37,44,868
85,ARCATAO,402,0402,RURAL,2,34,11,1950
86,AZACUALPA,403,0403,URBANO,NA,7,105,415
87,AZACUALPA,403,0403,RURAL,NA,NA,50,559
88,CITALA,404,0404,URBANO,NA,7,127,1234
89,CITALA,404,0404,RURAL,NA,67,56,2673
90,COMALAPA,405,0405,URBANO,NA,NA,106,680
91,COMALAPA,405,0405,RURAL,NA,14,50,2146
92,CONCEPCION QUEZALTEPEQUE,406,0406,URBANO,NA,127,217,2654
93,CONCEPCION QUEZALTEPEQUE,406,0406,RURAL,NA,72,145,3242
94,CHALATENANGO,407,0407,URBANO,690,230,2579,13477
95,CHALATENANGO,407,0407,RURAL,NA,145,749,11401
96,DULCE NOMBRE DE MARIA,408,0408,URBANO,NA,81,230,1794
97,DULCE NOMBRE DE MARIA,408,0408,RURAL,NA,25,72,2849
98,EL CARRIZAL,409,0409,URBANO,NA,3,NA,366
99,EL CARRIZAL,409,0409,RURAL,NA,25,31,2039
100,EL PARAISO,410,0410,URBANO,NA,24,350,2477
101,EL PARAISO,410,0410,RURAL,21,58,183,7370
102,LA LAGUNA,411,0411,URBANO,NA,NA,48,385
103,LA LAGUNA,411,0411,RURAL,NA,23,66,3401
104,LA PALMA,412,0412,URBANO,NA,43,347,2528
105,LA PALMA,412,0412,RURAL,NA,136,250,8931
106,LA REINA,413,0413,URBANO,1,41,169,1825
107,LA REINA,413,0413,RURAL,32,117,87,7253
108,LAS VUELTAS,414,0414,URBANO,NA,NA,20,281
109,LAS VUELTAS,414,0414,RURAL,NA,1,15,623
110,NOMBRE DE JESUS,415,0415,URBANO,1,1,31,784
111,NOMBRE DE JESUS,415,0415,RURAL,1,49,134,3483
112,NUEVA CONCEPCION,416,0416,URBANO,NA,74,1166,8605
113,NUEVA CONCEPCION,416,0416,RURAL,28,311,351,18090
114,NUEVA TRINIDAD,417,0417,URBANO,NA,7,16,198
115,NUEVA TRINIDAD,417,0417,RURAL,NA,NA,24,1428
116,OJOS DE AGUA,418,0418,URBANO,NA,3,22,775
117,OJOS DE AGUA,418,0418,RURAL,NA,24,48,2795
118,SAN FERNANDO,422,0422,URBANO,NA,4,13,614
119,SAN FERNANDO,422,0422,RURAL,NA,2,16,1944
120,POTONICO,419,0419,URBANO,NA,32,61,674
121,POTONICO,419,0419,RURAL,NA,4,25,790
122,SAN ANTONIO DE LA CRUZ,420,0420,URBANO,NA,6,6,117
123,SAN ANTONIO DE LA CRUZ,420,0420,RURAL,NA,30,46,1649
124,SAN ANTONIO LOS RANCHOS,421,0421,URBANO,NA,5,19,594
125,SAN ANTONIO LOS RANCHOS,421,0421,RURAL,NA,9,23,969
126,SAN FRANCISCO LEMPA,423,0423,URBANO,NA,6,77,515
127,SAN FRANCISCO LEMPA,423,0423,RURAL,NA,NA,2,262
128,SAN FRANCISCO MORAZAN,424,0424,URBANO,1,3,39,661
129,SAN FRANCISCO MORAZAN,424,0424,RURAL,NA,63,33,3119
130,SAN IGNACIO,425,0425,URBANO,NA,3,180,1050
131,SAN IGNACIO,425,0425,RURAL,NA,88,292,6998
132,SAN ISIDRO LABRADOR,426,0426,URBANO,NA,15,54,1065
133,SAN ISIDRO LABRADOR,426,0426,RURAL,NA,13,45,1400
134,CANCASQUE,427,0427,URBANO,NA,NA,NA,668
135,CANCASQUE,427,0427,RURAL,NA,20,5,1058
136,LAS FLORES,428,0428,URBANO,NA,8,45,532
137,LAS FLORES,428,0428,RURAL,NA,12,28,958
138,SAN LUIS DEL CARMEN,429,0429,URBANO,NA,1,11,263
139,SAN LUIS DEL CARMEN,429,0429,RURAL,NA,6,20,872
140,SAN MIGUEL DE MERCEDES,430,0430,URBANO,NA,24,105,898
141,SAN MIGUEL DE MERCEDES,430,0430,RURAL,NA,13,30,1417
142,SAN RAFAEL,431,0431,URBANO,NA,9,124,1533
143,SAN RAFAEL,431,0431,RURAL,NA,8,165,2425
144,SANTA RITA,432,0432,URBANO,1,20,43,336
145,SANTA RITA,432,0432,RURAL,NA,21,212,5352
146,TEJUTLA,433,0433,URBANO,NA,165,321,4943
147,TEJUTLA,433,0433,RURAL,NA,232,203,7744
148,ANTIGUO CUSCATLAN,501,0501,URBANO,138,648,20734,12178
