,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,URBANO,RURAL
1,AHUACHAPAN,101,0101,63981,46530
2,APANECA,102,0102,2943,5440
3,ATIQUIZAYA,103,0103,20864,12723
4,CONCEPCION DE ATACO,104,0104,5902,6884
5,EL REFUGIO,105,0105,6315,1856
6,GUAYMANGO,106,0106,1309,17728
7,JUJUTLA,107,0107,6909,21690
8,SAN LORENZO,109,0109,1127,8067
9,SAN FRANCISCO MENENDEZ,108,0108,12396,30211
10,SAN PEDRO PUXTLA,110,0110,1887,5886
11,TACUBA,111,0111,4889,24969
12,TURIN,112,0112,6403,2594
13,CANDELARIA DE LA FRONTERA,201,0201,8148,14538
14,COATEPEQUE,202,0202,13340,23428
15,CHALCHUAPA,203,0203,47695,26343
16,EL CONGO,204,0204,14594,9625
17,EL PORVENIR,205,0205,921,7311
18,MASAHUAT,206,0206,498,2895
19,METAPAN,207,0207,19356,39648
20,SAN ANTONIO PAJONAL,208,0208,1298,1981
21,SAN SEBASTIAN SALITRILLO,209,0209,17481,1085
22,SANTA ANA,210,0210,204340,41081
23,SANTA ROSA GUACHIPILIN,211,0211,431,4499
24,SANTIAGO DE LA FRONTERA,212,0212,1436,3760
25,TEXISTEPEQUE,213,0213,3112,14811
26,ACAJUTLA,301,0301,25237,27122
27,ARMENIA,302,0302,23994,10918
28,CALUCO,303,0303,1609,7530
29,CUISNAHUAT,304,0304,3001,9675
30,SANTA ISABEL ISHUATAN,305,0305,813,9428
31,IZALCO,306,0306,39786,31173
32,JUAYUA,307,0307,13798,10667
33,NAHUIZALCO,308,0308,33589,15492
34,NAHULINGO,309,0309,7362,3055
35,SALCOATITAN,310,0310,2020,3464
36,SAN ANTONIO DEL MONTE,311,0311,19982,6920
37,SAN JULIAN,312,0312,9460,9188
38,SANTA CATARINA MASAHUAT,313,0313,4286,5790
39,SANTO DOMINGO DE GUZMAN,314,0314,2277,4778
40,SONSONATE,315,0315,49129,22412
41,SONZACATE,316,0316,25005,NA
42,AGUA CALIENTE,401,0401,1984,6277
43,ARCATAO,402,0402,949,1997
44,AZACUALPA,403,0403,527,609
45,CITALA,404,0404,1368,2796
46,COMALAPA,405,0405,786,2210
47,CONCEPCION QUEZALTEPEQUE,406,0406,2998,3459
48,CHALATENANGO,407,0407,16976,12295
49,DULCE NOMBRE DE MARIA,408,0408,2105,2946
50,EL CARRIZAL,409,0409,369,2095
51,EL PARAISO,410,0410,2851,7632
52,LA LAGUNA,411,0411,433,3490
53,LA PALMA,412,0412,2918,9317
54,LA REINA,413,0413,2036,7489
55,LAS VUELTAS,414,0414,301,639
56,NOMBRE DE JESUS,415,0415,817,3667
57,NUEVA CONCEPCION,416,0416,9845,18780
58,NUEVA TRINIDAD,417,0417,221,1452
59,OJOS DE AGUA,418,0418,800,2867
60,SAN FERNANDO,422,0422,631,1962
61,POTONICO,419,0419,767,819
62,SAN ANTONIO DE LA CRUZ,420,0420,129,1725
63,SAN ANTONIO LOS RANCHOS,421,0421,618,1001
64,SAN FRANCISCO LEMPA,423,0423,598,264
65,SAN FRANCISCO MORAZAN,424,0424,704,3215
66,SAN IGNACIO,425,0425,1233,7378
67,SAN ISIDRO LABRADOR,426,0426,1134,1458
68,CANCASQUE,427,0427,668,1083
69,LAS FLORES,428,0428,585,998
70,SAN LUIS DEL CARMEN,429,0429,275,898
71,SAN MIGUEL DE MERCEDES,430,0430,1027,1460
72,SAN RAFAEL,431,0431,1666,2598
73,SANTA RITA,432,0432,400,5585
74,TEJUTLA,433,0433,5429,8179
75,ANTIGUO CUSCATLAN,501,0501,33698,NA
76,CIUDAD ARCE,502,0502,41483,18831
77,COLON,503,0503,91212,5777
78,COMASAGUA,504,0504,2872,8998
79,CHILTIUPAN,505,0505,777,10120
80,HUIZUCAR,506,0506,4841,9624
81,JAYAQUE,507,0507,6894,4164
82,JICALAPA,508,0508,420,4696
83,LA LIBERTAD,509,0509,23103,12894
84,NUEVO CUSCATLAN,510,0510,4075,2822
85,SANTA TECLA,511,0511,108840,13068
86,QUEZALTEPEQUE,512,0512,36162,16481
87,SACACOYO,513,0513,9872,2427
88,SAN JOSE VILLANUEVA,514,0514,10737,2839
89,SAN JUAN OPICO,515,0515,44986,29294
90,SAN MATIAS,516,0516,1167,6147
91,SAN PABLO TACACHICO,517,0517,5619,14747
92,TAMANIQUE,518,0518,3957,9587
93,TALNIQUE,519,0519,4889,3365
94,TEOTEPEQUE,520,0520,1283,11037
95,TEPECOYO,521,0521,8293,6029
96,ZARAGOZA,522,0522,18035,4490
97,AGUILARES,601,0601,19134,2133
98,APOPA,602,0602,131286,NA
99,AYUTUXTEPEQUE,603,0603,34710,NA
100,CUSCATANCINGO,604,0604,66400,NA
101,EL PAISNAL,605,0605,6723,7828
102,GUAZAPA,606,0606,14227,8679
103,ILOPANGO,607,0607,103862,NA
