fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
237,AHUACHAPAN,0101,110511,40330,22235,23328,22591,17865,10329,28194
230,APANECA,0102,8383,2132,810,3027,2335,5799,2320,8119
236,ATIQUIZAYA,0103,33587,13633,7021,7622,5046,8665,3352,12017
231,CONCEPCION DE ATACO,0104,12786,3522,2289,2656,3942,6189,2253,8442
235,EL REFUGIO,0105,8171,4540,1658,1222,631,2523,1565,4088
270,GUAYMANGO,0106,19037,648,616,5595,11938,891,1687,2578
229,JUJUTLA,0107,28599,4427,2419,10913,10441,5621,3683,9304
232,SAN FRANCISCO MENENDEZ,0108,42607,7845,4407,19650,10213,1824,2025,3849
238,SAN LORENZO,0109,9194,729,392,4982,3019,7864,5323,13187
228,SAN PEDRO PUXTLA,0110,7773,977,882,1716,4120,3020,1924,4944
233,TACUBA,0111,29858,2301,2538,7221,17316,6839,3532,10371
234,TURIN,0112,8997,4096,2270,1410,1184,2639,1586,4225
32,CANDELARIA DE LA FRONTERA,0201,22686,5967,2090,10554,3645,4035,1915,5950
34,COATEPEQUE,0202,36768,9341,3535,15101,7830,3722,2527,6249
37,CHALCHUAPA,0203,74038,34789,11891,17908,7808,16168,11956,28124
38,EL CONGO,0204,24219,10692,3727,6424,3082,853,814,1667
35,EL PORVENIR,0205,8232,612,285,5050,2127,372,568,940
30,MASAHUAT,0206,3393,379,119,1829,1042,1350,2281,3631
26,METAPAN,0207,59004,15073,3812,30210,8823,850,1708,2558
27,SAN ANTONIO PAJONAL,0208,3279,877,412,1452,505,433,1298,1731
36,SAN SEBASTIAN SALITRILLO,0209,18566,13767,3370,799,262,604,943,1547
33,SANTA ANA,0210,245421,147055,47949,25751,14001,1110,1336,2446
29,SANTA ROSA GUACHIPILIN,0211,4930,313,118,2910,1564,718,880,1598
28,SANTIAGO DE LA FRONTERA,0212,5196,968,440,2773,958,529,598,1127
31,TEXISTEPEQUE,0213,17923,2419,616,9701,4461,594,576,1170
196,ACAJUTLA,0301,52359,17510,7076,17348,9085,45283,12635,57918
202,ARMENIA,0302,34912,15981,7159,6652,3987,2329,917,3246
198,CALUCO,0303,9139,940,660,4421,3030,3741,1398,5139
195,CUISNAHUAT,0304,12676,958,2041,3612,5992,3223,1682,4905
194,SANTA ISABEL ISHUATAN,0305,10241,353,451,4591,4733,2208,1161,3369
203,IZALCO,0306,70959,25232,13605,16938,13447,12120,5077,17197
207,JUAYUA,0307,24465,9056,4470,5566,4934,16521,5735,22256
206,NAHUIZALCO,0308,49081,14848,18003,5798,9281,172806,61950,234756
197,NAHULINGO,0309,10417,5206,2023,1732,1292,24442,11365,35807
205,SALCOATITAN,0310,5484,1427,588,2124,1306,5662,2412,8074
199,SAN ANTONIO DEL MONTE,0311,26902,13458,5966,3541,3219,14566,3632,18198
201,SAN JULIAN,0312,18648,5896,3461,4843,4119,52697,19699,72396
204,SANTA CATARINA MASAHUAT,0313,10076,1366,2824,2065,3537,17116,6809,23925
271,SANTO DOMINGO DE GUZMAN,0314,7055,774,1457,2156,2579,12286,5884,18170
200,SONSONATE,0315,71541,34956,12602,14005,7986,9082,5182,14264
208,SONZACATE,0316,25005,18669,6001,0,0,4067,2145,6212
2,AGUA CALIENTE,0401,8261,1386,566,4413,1754,4011,2220,6231
62,ARCATAO,0402,2946,340,566,833,1123,4142,1797,5939
24,AZACUALPA,0403,1136,225,293,304,305,2462,1115,3577
5,CITALA,0404,4164,1009,354,1514,1211,3380,1659,5039
63,COMALAPA,0405,2996,291,495,1467,715,3076,2316,5392
14,CONCEPCION QUEZALTEPEQUE,0406,6457,1685,1192,2037,1335,12635,10861,23496
15,CHALATENANGO,0407,29271,9981,6020,6187,5936,5017,2627,7644
10,DULCE NOMBRE DE MARIA,0408,5051,1296,728,1724,1196,6398,2421,8819
65,EL CARRIZAL,0409,2464,72,286,761,1310,3404,3058,6462
11,EL PARAISO,0410,10483,1738,1090,5101,2442,10808,6710,17518
64,LA LAGUNA,0411,3923,195,238,1643,1807,5038,2366,7404
3,LA PALMA,0412,12235,2142,728,6523,2624,4933,1930,6863
7,LA REINA,0413,9525,1142,846,4479,2837,3329,1311,4640
17,LAS VUELTAS,0414,940,71,230,301,338,12843,4970,17813
60,NOMBRE DE JESUS,0415,4484,552,263,2208,1414,11905,5971,17876
1,NUEVA CONCEPCION,0416,28625,6985,2771,10880,7558,7663,3888,11551
16,NUEVA TRINIDAD,0417,1673,118,103,735,711,521,318,839
18,OJOS DE AGUA,0418,3667,263,532,1087,1749,1034,786,1820
21,POTONICO,0419,1586,272,460,332,483,2760,1677,4437
59,SAN ANTONIO DE LA CRUZ,0420,1854,49,74,985,712,661,902,1563
23,SAN ANTONIO LOS RANCHOS,0421,1619,200,417,518,463,1173,1689,2862
6,SAN FERNANDO,0422,2593,98,529,793,1158,1758,1210,2968
58,SAN FRANCISCO LEMPA,0423,862,365,216,156,102,1838,2045,3883
8,SAN FRANCISCO MORAZAN,0424,3919,440,260,1384,1765,833,1596,2429
4,SAN IGNACIO,0425,8611,905,325,5284,1928,15070,9560,24630
19,SAN ISIDRO LABRADOR,0426,2592,363,760,487,948,3103,3556,6659
20,CANCASQUE,0427,1751,122,546,311,752,5160,4098,9258
61,LAS FLORES,0428,1583,275,302,386,600,1805,1755,3560
25,SAN LUIS DEL CARMEN,0429,1173,138,137,456,439,4792,3079,7871
22,SAN MIGUEL DE MERCEDES,0430,2487,477,519,633,817,20666,22411,43077
12,SAN RAFAEL,0431,4264,959,698,1680,888,6403,5243,11646
13,SANTA RITA,0432,5985,277,106,3758,1809,4446,5673,10119
9,TEJUTLA,0433,13608,3356,1908,4508,3415,2115,2056,4171
251,ANTIGUO CUSCATLAN,0501,33698,29435,3500,0,0,10463,6150,16613
258,CIUDAD ARCE,0502,60314,29164,11359,12164,5963,30141,18344,48485
