Número,Empresa,Teléfono,Dirección,E-mail,WEB,Contacto,Servicios,Materiales,Aceites y Lubricantes Usados,Aceite Vegetal Usado,Acero,Aluminio de todo tipo,Baterías Automotrices Plomo-Acido,Baterías Automotrices Plomo-Gel,Botellas de Vidrio  de Licor,Botellas de Vidrio Genéricas,Bronce,Cartón,Cartuchos Vacíos de Tinta y Tóner,Cobre,Desperdicios de Cuero,Desperdicios Textiles,Hierro,Lata de bebidas (Aluminio),Libros,Llantas,Materia Orgánica,Papel de oficina,Papel periódico,Policarbonato (PP),Policroruro de Vinilo (PVC),Polietileno de Alta Densidad (HDPE),Polietileno de Baja Densidad (LDPE),Polietileno Tereftalato (PET),Polipropileno (PP),Revistas,Vidrio
1,ALAS DORADAS S.A. DE C.V.,2304-2200            2304-2261                 7930-3559,Km. 27 1/2 Carreterra A Santa Ana,jramirez@alas-doradas.com,-,Lic. José Manuel Ramírez Avelar,Reciclaje de papel y cartón,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
2,ALCALDIA MUNICIPAL DE AYUTUXTEPEQUE,2272-6255  2272-0546 22726244(FAX),"1ra. Calle Oriente No. 1, Ayutuxtepeque, San Salvador",alcaldesadeayutuxtepeque@yahoo.com,,Sra. Ana Margoth Handal de Arias,Recolección de materiales reciclables,,,,,1,,,,,,1,,1,,,,1,1,,,1,,1,1,1,1,1,1,1,
3,ALCALDIA MUNICIPAL DE SAN SALVADOR,22026-6150,"Estación de Servicios Municipales Aragon, Autopista A Comalapa, Km. 1 1/2, Fte. a Rancho Navarra",irico@amss.gob.sv,www.amss.gob.sv,Ing. Claudia Maria Rico de Contreras,Recepción de materia orgánica y materiales reciclables,,,,,1,,,1,1,1,,,1,,,,1,1,1,1,1,,,,,,1,,1,1
4,ALCALDIA MUNICIPAL DE SUCHITOTO,2335-1041                     2335-1120,"Alcaldía: Fnl. C. Fco. Morazán #7 Bo El Calvario, Suchitoto            Centro de Reciclaje: Cantón Milingo, desvío La Manetca, a 1 Km. Del casco urbano de Suchitoto, Suchitoto",conny127@hotmail.com                      suchitoto@navegante.com.sv,No tienen ,Sra. Concepción Juárez,Recolección Separada de materia orgánica y materiales reciclables así como recepción en planta de reciclaje,,,,,1,,,1,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,AVANGARD,2297-5856              2297-5857,"Blvd. del Ejercito Nacional Km 7 1/2, Soyapango",avancen@cyt.net,-,Sr. Lorenzo Rivera                        Lic. José María López,Recolección de plásticos,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
6,BATERIAS DE EL SALVADOR,2318-1818            2318-2338            2338-5876               2318-4377,"Carretera A San Juan Opico Km 31 1/2 Sitio Del Niño, La Libertad",jmacias@record.com.sv,www.record.com,Ing. Javier Macias                              Ing. Hugo R. Trujillo,Recolección y transporte de aceite usado y abterías automotrices usadas,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
7,BATERIAS LASSER S.A. DE C.V.,2270-1048                        2280-1478               2270-5863,"Calle Modelo, Bo Candelaria #278 San Salvador",bateriaslasser@elsalvador.com,-,Sra. Blanca Estela López,Recepción de baterías automotrices usadas,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
8,CAPSA S.A. DE C.V.,2278-0867,"Col. Jardines de Cuscatlan Calle L-4 Polig. C No C-68, Antiguo Cuscatlán",l_rivas7777@yahoo.com,-,Sr. Luis Rivas,Recolección de materiales reciclables,,,,,1,,,,,1,1,,1,,,,1,,,,,,,,,,,,,
9,CORINCA,2310-2202  2310-2491,"Carretera A San Juan Opico, Entrada A Quezaltepeque, La Libertad.",no tienen,www.corinca.com,Sr. Jesús Antonio Canizales,Compra de hierro y acero como chatarra,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
10,DIGA,2295-1358               2295-1329                    2296-5437 ,"Carretera Panamericana, Km. 14 1/2 Cantón La Palma, San Martín",luzmadeortiz@hotmail.com,-,Sra. Luz Maria de Ortiz,Recolección de cartón,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11,"DISTRIBUIDORA COMERCIAL FIGUEROA, AGUA DE COCO, COCO COOL",2229-9649,"Residencial Jardines de Santa Teresa, Block K, 21 Av. Nte. #22, Ciudad Merliot",cella_012005@yahoo.com,-,Sra. Jenifer Liseth Figueroa,Recepción de plástico tipo PET,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
