ID,ID_Alf,Año,Codigo_Departamento,Departamento,Codigo_Municipio_Alf,Codigo_Municipio,Municipio,Territorios_Funcionales,PESS,Tamaño_Municipio,Poblacion,Poblacion_Hombres,Poblacion_Mujeres,Homicidios_PNC,Hom_Multiple,Amenazas,Privacion_Libertad_PNC,Homicidios_Fuego_IML,Homicidios_IML,Homicidios_Mujeres_IML,Lesiones_IML,Lesiones_Mujeres_IML,Lesiones_Hombres,Lesiones_Fuego_IML,Violacion_IML,Vsexual_IML,Violacion_Mujeres_IML,Robo_Hombres_FGR,Robo_Mujeres_FGR,Robo_FGR,Extorsion_FGR,Ingresos_Tasas,Deflactor,Ingresos_Real,ingreso_real_hab,Consumo_KW,Consumo_KW_hab,Pobreza_FISDL,Homicidios_Habitantes,Amenazas_Habitantes,Privacion_Habitantes,Lesiones_Habitantes,Vsexual_Habitantes,Robo_Habitantes,Extorsion_Habitantes
1012008,01012008,2008,1,AHUACHAPAN,0101,101,AHUACHAPAN,5,Pertenece,Muy Grande,115111,,,24,2,69,6,22,24,2,190,83,107,6,37,68,36,15,3,33,16,1155732.22,88.3,1308870.011325028,11.37050342559815,38438017.64,333.9213256835938,47.7,20.849442,59.942142,5.2123604,165.05807,59.073418,28.667982,13.899628
1022008,01022008,2008,1,AHUACHAPAN,0102,102,APANECA,,No Pertenece,Pequeño,8598,,,3,0,4,0,3,3,0,24,13,11,0,2,3,2,0,0,3,0,60987.24,88.3,69068.22197055492,8.03305721282959,2346126.04,272.8688049316406,52,34.891834,46.522446,0,279.13467,34.891834,34.891834,0
1032008,01032008,2008,1,AHUACHAPAN,0103,103,ATIQUIZAYA,,Pertenece,Grande,34605,,,18,2,16,0,15,18,3,78,33,45,10,5,13,4,5,1,10,1,122016.88,88.3,138184.4620611552,3.993193626403809,9595423.810000001,277.2843322753906,41.2,52.015606,46.236092,0,225.40096,37.566826,28.897558,2.8897557
1042008,01042008,2008,1,AHUACHAPAN,0104,104,CONCEPCION DE ATACO,,No Pertenece,Mediano,13116,,,4,0,6,0,3,4,0,30,9,21,0,2,6,2,3,2,8,0,54288.43,88.3,61481.8006795017,4.687541961669922,3829666.12,291.9843139648438,48.7,30.497103,45.745655,0,228.72827,45.745655,60.994205,0
1052008,01052008,2008,1,AHUACHAPAN,0105,105,EL REFUGIO,3,No Pertenece,Pequeño,8683,,,5,2,3,0,4,5,0,17,6,11,3,2,6,2,0,0,1,1,37395.52,88.3,42350.53227633069,4.877408027648926,2820189.020000001,324.7943115234375,26.4,57.583786,34.55027,0,195.78487,69.10054,11.516757,11.516757
1062008,01062008,2008,1,AHUACHAPAN,0106,106,GUAYMANGO,,No Pertenece,Mediano,19714,,,1,0,5,0,1,1,0,16,9,7,0,4,8,4,0,0,1,0,28874.29,88.3,32700.21517553794,1.658730626106262,1651728.78,83.78456115722656,72.7,5.0725374,25.362686,0,81.160599,40.580299,5.0725374,0
1072008,01072008,2008,1,AHUACHAPAN,0107,107,JUJUTLA,,No Pertenece,Grande,29608,,,6,0,12,0,5,6,0,14,3,11,2,11,13,11,4,1,7,1,34619.7,88.3,39206.90826727067,1.324199795722961,4763388.070000001,160.8817901611328,59.5,20.264793,40.529587,0,47.284519,43.907051,23.64226,3.3774655
1082008,01082008,2008,1,AHUACHAPAN,0108,108,SAN FRANCISCO MENENDEZ,,No Pertenece,Grande,44251,,,9,0,8,2,7,9,1,13,7,6,0,10,17,10,1,1,5,0,402292.18,88.3,455597.0328425822,10.29574584960938,12133987.07,274.2081909179688,57.6,20.338524,18.078688,4.5196719,29.377867,38.41721,11.29918,0
1092008,01092008,2008,1,AHUACHAPAN,0109,109,SAN LORENZO AH,,No Pertenece,Pequeño,9547,,,2,0,1,1,1,2,0,12,4,8,0,1,1,1,0,0,0,0,,,,,2091591.87,219.0836791992188,53.3,20.94899,10.474495,10.474495,125.69393,10.474495,0,0
1102008,01102008,2008,1,AHUACHAPAN,0110,110,SAN PEDRO PUXTLA,,No Pertenece,Pequeño,8038,,,1,0,4,0,1,1,1,6,2,4,1,0,1,0,0,0,1,0,64028.69,88.3,72512.67270668177,9.021233558654785,1245445.99,154.9447631835938,70.59999999999999,12.440906,49.763622,0,74.645432,12.440906,12.440906,0
1112008,01112008,2008,1,AHUACHAPAN,0111,111,TACUBA,,No Pertenece,Grande,31004,,,10,0,20,0,9,10,1,45,16,29,2,3,6,3,1,2,3,0,32813.92,88.3,37161.85730464327,1.198614954948425,2531475.44,81.64996337890625,68.09999999999999,32.253902,64.507805,0,145.14256,19.352341,9.6761703,0
1122008,01122008,2008,1,AHUACHAPAN,0112,112,TURIN,5,No Pertenece,Pequeño,9421,,,5,0,5,0,5,5,2,16,8,8,1,3,3,2,1,0,1,0,24636.56,88.3,27900.97395243488,2.961572408676148,2641387.25,280.3722839355469,32,53.072922,53.072922,0,169.83334,31.843754,10.614584,0
2012008,02012008,2008,2,SANTA ANA,0201,201,CANDELARIA DE LA FRONTERA,,No Pertenece,Mediano,24355,,,10,0,9,3,7,9,0,37,20,17,1,4,12,4,1,0,5,1,109893.64,88.3,124454.8584371461,5.11003303527832,6937222.020000001,284.8377075195313,50.8,36.953396,36.953396,12.3178,151.91953,49.271198,20.529665,4.1059332
2022008,02022008,2008,2,SANTA ANA,0202,202,COATEPEQUE,,Pertenece,Grande,39033,,,15,2,5,1,9,14,0,49,26,23,0,3,15,3,4,0,11,0,56917.03,88.3,64458.69762174405,1.651389837265015,11383874.33,291.6474304199219,50.6,35.867088,12.809674,2.5619347,125.53481,38.42902,28.181282,0
2032008,02032008,2008,2,SANTA ANA,0203,203,CHALCHUAPA,3,Pertenece,Grande,79233,,,63,6,37,1,51,62,5,126,55,71,14,15,33,14,6,3,18,4,675746.4399999999,88.3,765284.7565118913,9.658661842346191,29344131.95,370.3524169921875,38,78.250221,46.697716,1.2621003,159.02464,41.649311,22.717808,5.0484014
2042008,02042008,2008,2,SANTA ANA,0204,204,EL CONGO,,Pertenece,Grande,25976,,,18,2,5,0,12,19,3,33,18,15,2,4,5,4,3,0,29,0,235090.14,88.3,266240.2491506229,10.2494707107544,7792024.000000002,299.9701232910156,50.6,73.14444,19.248537,0,127.04034,19.248537,111.64152,0
2052008,02052008,2008,2,SANTA ANA,0205,205,EL PORVENIR,3,No Pertenece,Pequeño,8834,,,5,0,3,0,3,4,0,9,3,6,0,1,3,1,0,0,2,0,35194.78,88.3,39858.18799546999,4.51190710067749,4321478.33,489.1870422363281,48.6,45.279602,33.959702,0,101.8791,33.959702,22.639801,0
2062008,02062008,2008,2,SANTA ANA,0206,206,MASAHUAT,,No Pertenece,Pequeño,3582,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,12272.58,88.3,13898.73159682899,3.880159616470337,706764.76,197.3100891113281,77.7,27.917364,0,0,0,0,55.834728,0
2072008,02072008,2008,2,SANTA ANA,0207,207,METAPAN,4,Pertenece,Grande,62890,,,21,7,12,2,16,19,2,86,39,47,8,13,26,12,1,1,11,0,882597.74,88.3,999544.4394110986,15.89353561401367,27746863.56,441.1967468261719,38.1,30.211481,19.080935,3.1801558,136.7467,41.342026,17.490856,0
2082008,02082008,2008,2,SANTA ANA,0208,208,SAN ANTONIO PAJONAL,,No Pertenece,Pequeño,3459,,,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,32725.43,88.3,37061.64212910533,10.71455383300781,1353578.28,391.3206787109375,50.4,0,0,0,28.910089,28.910089,0,0
