"NOM_DPTO,C,254","COD_DPTO,C,254","NOM_MUN,C,254","COD_MUN4,C,254","TASA_POBR,N,19,11","POBR_FISDL,C,20","AREA_KM2,N,19,11","POB_TOTAL,N,9,0","POB_HOMB,N,9,0","POB_MUJER,N,9,0","value,N,24,15","area_calc,N,11,2","value_int,N,2,0"
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,64216.26,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,558660.80,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829971.01,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,828287.05,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,790276.35,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829980.94,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829984.19,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829987.39,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,100706.53,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829990.57,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,689576.89,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,829993.71,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830020.38,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,829996.81,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830023.18,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.500000000000000,829999.88,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,140550.09,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830025.94,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,8.000000000000000,830002.92,8
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829996.85,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830028.66,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,10.500000000000000,830005.92,11
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829999.92,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.500000000000000,830031.35,7
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,11.000000000000000,830008.89,11
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830002.96,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830034.01,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,9.500000000000000,830011.82,10
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830005.96,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.000000000000000,795887.40,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830008.92,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,7.500000000000000,830014.72,8
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.500000000000000,35886.89,7
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830011.85,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830017.58,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830014.75,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830020.41,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830023.20,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830017.61,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830020.44,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830025.96,2
