,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
1,AHUACHAPAN,101,0101,URBANO,232,1222,1136,61391
2,AHUACHAPAN,101,0101,RURAL,NA,427,53,46050
3,APANECA,102,0102,URBANO,NA,27,62,2854
4,APANECA,102,0102,RURAL,NA,58,5,5377
5,ATIQUIZAYA,103,0103,URBANO,51,187,456,20170
6,ATIQUIZAYA,103,0103,RURAL,NA,60,19,12644
7,CONCEPCION DE ATACO,104,0104,URBANO,5,83,65,5749
8,CONCEPCION DE ATACO,104,0104,RURAL,6,303,5,6570
9,EL REFUGIO,105,0105,URBANO,11,118,80,6106
10,EL REFUGIO,105,0105,RURAL,NA,11,4,1841
11,GUAYMANGO,106,0106,URBANO,NA,41,31,1237
12,GUAYMANGO,106,0106,RURAL,NA,200,NA,17528
13,JUJUTLA,107,0107,URBANO,NA,33,9,6867
14,JUJUTLA,107,0107,RURAL,NA,251,8,21431
15,SAN LORENZO,109,0109,URBANO,NA,6,3,1118
16,SAN LORENZO,109,0109,RURAL,NA,41,19,8007
17,SAN FRANCISCO MENENDEZ,108,0108,URBANO,NA,218,144,12034
18,SAN FRANCISCO MENENDEZ,108,0108,RURAL,NA,239,40,29932
19,SAN PEDRO PUXTLA,110,0110,URBANO,NA,14,23,1850
20,SAN PEDRO PUXTLA,110,0110,RURAL,NA,38,9,5839
21,TACUBA,111,0111,URBANO,NA,58,53,4778
22,TACUBA,111,0111,RURAL,NA,460,5,24504
23,TURIN,112,0112,URBANO,NA,32,73,6298
24,TURIN,112,0112,RURAL,NA,3,NA,2591
25,CANDELARIA DE LA FRONTERA,201,0201,URBANO,NA,100,72,7976
26,CANDELARIA DE LA FRONTERA,201,0201,RURAL,NA,362,64,14112
27,COATEPEQUE,202,0202,URBANO,2,449,81,12808
28,COATEPEQUE,202,0202,RURAL,23,630,40,22735
29,CHALCHUAPA,203,0203,URBANO,19,1157,1031,45488
30,CHALCHUAPA,203,0203,RURAL,7,468,16,25852
